candidate,sourceBacked,wouldGenerateTrueReferenceAspect,wouldSaveScene,outputSize,method,status,notes,source,line,candidateKind,evidence,interpretation,safeForNoSceneSaveCapture
run_existing_BATTLE57_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE57 Rehydrate Source Backed AssetBundle Actors,blocked_existing_path_hardcoded_16x9_and_scene_save,"Source-backed actor rehydration remains useful, but not acceptable for BATTLE68 true aspect no-scene-save capture.",,,,,,
run_existing_BATTLE51_Build,True,False,True,1920x1080,GirlsWar/Battle/BATTLE51 Restore Lua Bridge And Raycaster Registration,blocked_existing_path_hardcoded_public_call_and_scene_save,"Internal RenderCamera is dimension-flexible, but the exposed Build path is not.",,,,,,
use_BATTLE67_crop_as_final,False,False,False,1920x855 crop from 1920x1080,image crop/guide from existing PNG,forbidden_as_final_true_capture,BATTLE67 crop remains analysis-only and cannot stand in for runtime/GameView capture.,,,,,,
new_capture_only_editor_method_open_BATTLE57_scene_render_1920x855,True,True,False,1920x855,"Open existing BATTLE57 scene read-only, FindCaptureCamera, RenderTexture(width,height), camera.Render, restore targetTexture, do not SaveScene",generated,BATTLE68 capture-only editor method wrote only capture/report outputs and did not call SaveScene.,,,,,,
new_capture_only_editor_method_open_BATTLE51_scene_render_1280x570,True,True,False,1280x570,"Open existing BATTLE51/BATTLE57 context, RenderTexture(1280,570), camera.Render, no bridge/actor mutation",safe_candidate_plan_only_not_existing_public_path,May omit BATTLE57 runtime rehydrated actor objects unless BATTLE57 scene already contains them; should validate scene contents before use.,,,,,,
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,170910,capture_camera_name,m_Name: BattleHudSpriteAtlasTextureRuntimeBindingClip05Camera,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,170941,camera_pixel_or_projection,m_NormalizedViewPortRect:,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,170958,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,171402,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,171494,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,171496,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,176574,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,176576,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,183119,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,184843,canvas_camera_binding,m_SortingOrder: 5,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,185783,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,185784,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,185785,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,185796,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,185797,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,186171,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,186173,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,191495,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,191589,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,191591,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,197403,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,197405,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,202494,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,202496,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,207590,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,207592,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,212746,canvas_camera_binding,m_SortingOrder: 3,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,212748,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,217950,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,217952,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,222785,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,223246,canvas_camera_binding,m_SortingOrder: 3,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,223550,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,223552,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,229509,canvas_camera_binding,m_SortingOrder: 3,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,229511,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,234510,canvas_camera_binding,m_SortingOrder: 10,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,234512,canvas_camera_binding,m_RenderMode: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,239562,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,239563,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,239564,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,239575,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,239576,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,240111,canvas_camera_binding,m_SortingOrder: 10,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,240113,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,245234,canvas_camera_binding,m_SortingOrder: 5,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,245236,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,251158,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,251160,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,256398,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,256400,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,263298,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,263403,canvas_camera_binding,m_SortingOrder: 5,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,263405,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,268382,canvas_camera_binding,m_SortingOrder: 36,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,269864,canvas_camera_binding,m_SortingOrder: 5,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,269866,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,274762,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,274764,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,280068,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,280070,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,285203,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,285205,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,290439,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,290441,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,295584,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,295586,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,300860,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,300861,canvas_camera_binding,m_Camera: {fileID: 558829895},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,300862,canvas_camera_binding,m_PlaneDistance: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,300873,canvas_camera_binding,m_SortingOrder: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,300874,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,301159,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,301161,canvas_camera_binding,m_RenderMode: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,306129,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,306131,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,312732,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,312734,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,319389,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,319391,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,326268,canvas_camera_binding,m_SortingOrder: 30,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,326270,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,331166,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,331168,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,336346,canvas_camera_binding,m_SortingOrder: 10,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,336348,canvas_camera_binding,m_RenderMode: 4,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,342231,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,342233,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,347818,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,348160,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,348162,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,353729,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,354078,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,354080,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359163,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359476,canvas_camera_binding,m_RenderMode: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359477,canvas_camera_binding,m_Camera: {fileID: 0},scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359478,canvas_camera_binding,m_PlaneDistance: 100,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359489,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359490,canvas_camera_binding,m_TargetDisplay: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359684,canvas_camera_binding,m_SortingOrder: 1,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,359686,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,365197,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,365199,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,370174,canvas_camera_binding,m_SortingOrder: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,371743,canvas_camera_binding,m_SortingOrder: 30,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,371745,canvas_camera_binding,m_RenderMode: 0,scene YAML evidence only; no mutation performed,read_only_evidence
,,,,,,,,girlswar_battle_unity\Assets\Scenes\Battle57RuntimeRehydratedAssetBundleActorsCandidate.unity,377055,canvas_camera_binding,m_SortingOrder: 2,scene YAML evidence only; no mutation performed,read_only_evidence
