local e=
{
ByIdx={
{210761001,0,"平静的树林中，忽然响起一阵悲鸣。","고요한 숲 속에서 갑자기 흐느끼는 울음 소리가 들려왔다.","穏やかな森の中で突然、悲痛な叫び声が響いた。","静かな森の中で、突然悲鳴を上げてきた。","",0,0,"","","","","","","","","",""},
{210762020,21076,"这是因为……","그건...","それは…","","",0,0,"","","","","","","","","",""},
{210762021,0,"这时，一个声音插入进来。","그리고 그때 갑자기 남자의 목소리가 들렸다.","この時、もう一人が来た。","","",0,0,"","","","","","","","","",""},
{210762022,2090,"仙女大人，不好意思打扰到您和客人聊天，但是到该巡视的时间了呢。","정령님, 죄송하지만 순찰 시간입니다.","精霊様、お邪魔して申し訳ございません。巡回のお時間です。","","",0,0,"","","","","","","","","",""},
{210762023,21076,"啊，这么快就到这个时间了么？","아, 벌써 시간이...?","あれ、もうこんな時間ですか？","","",0,0,"","","","","","","","","",""},
{210762024,21076,"我还没和{PlayerName}先生他们聊尽兴呢。","{PlayerName} 님이랑 아직 하고 싶은 이야기가 더 남았는데...","あたしは{PlayerName}さんともっと色々話したかったのに。","","",0,0,"","","","","","","","","",""},
{210762025,2090,"真是万分抱歉！可有好几个客人已经在村子里等了快一周……","이미 일주일 째 기다리고 있는 사람들이 있어서요... 죄송합니다!","申し訳ございませんが、何人かのお客様が一週間以上村に留まっておりまして…","","",0,0,"","","","","","","","","",""},
{210762026,21076,"好吧好吧，那我就去瞧一瞧。","아~ 그렇군요. 알겠어요.","はいはい、行ってきますよ。","","",0,0,"","","","","","","","","",""},
{210762027,21076,"抱歉了各位，我这临时有些事，有什么需要的就和老村长说吧，他就安排你们的。","다들 죄송해요. 급한 일이 생겨서... \r\n필요한 게 있으시면 여기 촌장님에게 말씀하세요. 도와주실 거예요~","すみませんみなさん。ちょっと用事ができてしまいました。何か用があったら村長さんに言ってください！","","",0,0,"","","","","","","","","",""},
{210762028,0,"布伦希尔德面带歉意地说完，便和侍女打扮的少女离开了。","브륀힐드는 미안한 표정을 지으며 하녀와 함께 자리를 떠났다.","ブリュンヒルドは申し訳なさそうに言うと、次女と共に部屋を出て行った。","","",0,0,"","","","","","","","","",""},
{210762029,1005,"感觉布伦希尔德小姐很忙碌的样子呢。","브륀힐드 님, 굉장히 바빠보이시네요...","ブリュンヒルドさん、忙しそうですね。","","",0,0,"","","","","","","","","",""},
{210762030,2044,"哈哈，没想到各位居然是仙女大人的朋友，之前在村口还真是失礼了。","하하, 정령님의 친구분들이셨다니. 몰라뵈어 죄송합니다.","はは、まさか精霊様のお友達だったとはのう！この間は失礼いたしました。","","",321076221,321076222,"没错！我就是希尔德酱最珍视的朋友！","제가 바로 브륀힐드 절친입니다!","そうだ！大切な友達なんだ！","","","给些折扣啊优惠什么的就原谅你了！","할인을 더 좀 해주신다면야... 크흠...!","ちょっと割引してくれたら、許してあげるよ。","",""},
{210762031,2044,"哈，哈哈……嗯，当然没问题！","하... 하하! 무, 물론이죠!","は、ははは…。当然、問題ありませんぞ！","","",0,0,"","","","","","","","","",""},
{210762032,2044,"你们都是仙女大人的朋友，我们村子一定会用最高的规格款待各位！","정령님의 친구분들이시니 극빈 대접을 해드리겠습니다.","精霊様のご友人であれば、我が村は必ず最高のおもてなしをいたします！","","",0,0,"","","","","","","","","",""},
{210762033,1003,"My lord又开始了……真是每到一个地方都不消停呢。","My lord가 또... 정말 어딜 가나 조용한 날이 없군요.","マイロード、またそんな…。本当に落ち着きがありませんね。","","",0,0,"","","","","","","","","",""},
{210762034,1003,"……唔，我，我才不是吃醋！","... 아, 아! 부, 불만은 아닙니다!","…うぅ、や…ヤキモチではありません！","","",0,0,"","","","","","","","","",""},
{210762035,1003,"只是有些惊讶你那异于常人的旺盛精力罢了——","그냥... 타고난 힘에 놀랐을 뿐입니다.","その超人的な行動力に驚かされただけです。","","",0,0,"","","","","","","","","",""},
{210762036,1003,"呃，你干嘛，不，不要过来啊！","윽... 왜 이러시는 겁니까?! 오지 마십시요!","え、なにを？ち…近寄らないで！","","",0,0,"","","","","","","","","",""},
{210762037,1003,"喂！！！！","어... 어어?!!?!","ちょっと！！！","","",0,0,"","","","","","","","","",""},
{210762038,2090,"……","......","……","","",0,0,"","","","","","","","","",""},
{210762039,2090,"咳咳，各位先忙，要不……老头子我半个小时后再过来？","하하, 먼저 급한 일부터 하시고... 저는 그럼 30분 뒤에 오도록 하지요.","コホン、ではわしは半時間後に戻ってまいります。","","",0,0,"","","","","","","","","",""},
{210762040,2090,"两，两个小时后？！","아니면 두, 두 시간 뒤?","に、２時間ですと？！","","",0,0,"","","","","","","","","",""},
{210762041,2090,"……真是了不得的年轻人啊。","...... 여, 역시 젊은 게 좋군.","すごい若者じゃ…。","","",0,0,"","","","","","","","","",""},
{210762042,0,"就这样，{PlayerName}几人尽情在度假村玩了三天，期间只偶尔见过布伦希尔德几面。","그렇게 {PlayerName} 님과 일행은 별장촌에서 삼 일을 보냈고 브륀힐드의 얼굴을 보기란 어려웠다.","こうして、{PlayerName}一行はリゾートで三日間遊んでいたが、あまりブリュンヒルドに会うことはできなかった。","","",0,0,"","","","","","","","","",""},
{210762043,21076,"哈——终于复活了！","하아~ 부활...!","はぁ～、やっと復活です！","","",0,0,"","","","","","","","","",""},
{210762044,1005,"布伦希尔德小姐，你这些天都在忙什么呀？","브륀힐드 님~ 요즘 너무 바쁘신 거 아니세요?","ブリュンヒルドさん、この数日間は何をしていたんですか？","","",0,0,"","","","","","","","","",""},
{210762045,21076,"唔……这就说来话长了，简单来说就是当个雕像啦，坐在轿子上被人搬来搬去的。","음... 그게 사실은 조각상처럼 앉아있어야 한다고 해서요.","うーん…詳しく話すと長いんですが簡単に言うと、ただ神輿に乗って、みんなにあちこち運ばれてただけです。","","",0,0,"","","","","","","","","",""},
{210762046,21076,"说是什么打响名气，提高知名度。","무슨 이름을 천하에 알려야 한다나 뭐라나... 에헤헤.","知名度を高めるためと言われまして、よくわからないのですが…","","",0,0,"","","","","","","","","",""},
{210762047,21076,"哎呀不说这些恼人的话题了，咱们来打网球吧!","아아~ \r\n이제 일 이야기는 그만 하구 저희 테니스 치러 가요!","まあ、面倒な話はやめて、テニスでもしましょう！","","",0,0,"","","","","","","","","",""},
{210762048,21076,"我可是特意叮嘱今天任何事情都不许来找我，非要好好玩个痛快不可！","오늘 어떤 일이 있어도 저를 찾지 말라고 했으니깐 같이 즐겨요~","今日は誰も私を探しに来ないようにと、厳重に言ってあるんです。思いっきり遊びましょう！","","",0,0,"","","","","","","","","",""},
{210762049,1008,"网球？没意思，还不如找个地方睡午觉呢~","테니스는 재미없어요... 차라리 같이 낮잠이나 실컷 자는 게 어떨까요~?","テニス？いやですよつまらない！昼寝のほうがましじゃないですか～。","","",0,0,"","","","","","","","","",""},
{210762050,21076,"赢我一个球，就给一根金条~","저를 이기신다면 골드바 하나를 드리죠~","私に１回勝てば、金の延べ棒を1本差し上げますよ～。","","",0,0,"","","","","","","","","",""},
{210762051,1008,"实不相瞒，我其实有个外号叫“网球小王子”！","... 아하하! 제가 이래봐도 테니스 프린스라고 불렸던 적이 있었답니다~","よっしゃやりましょう！実は私、無敗のテニスマスターという過去があるんですよ。","","",0,0,"","","","","","","","","",""},
{210762052,1003,"你不是女的么？","... 프린세스가 아니고요?","あなたねぇ…","","",0,0,"","","","","","","","","",""},
{210762053,1008,"嘁，女的都可以当国王，为什么不能当王子？","윽...! 그, 그냥 그렇다면 그런 거예요!","本当ですよ！私を信じてください！","","",0,0,"","","","","","","","","",""},
{210762054,1008,"多说无用，放马过来吧!今天不把你赢到破产，我名字倒过来写！","자자~ 그럼 시작할까요?! \r\n브륀힐드 님을 천하제일의 하녀인 제가 파산시켜드리죠! 훗!","まあ、余計な話はもういいでしょう！かかってきなさい、破産に気を付けるんですよ！","","",0,0,"","","","","","","","","",""},
{210762055,0,"紧张刺激的网球游戏在庭院展开，其中时不时响起或亢奋或懊恼的声音。","스릴넘치는 테니스 경기가 시작되었고, 흥분과 아쉬움의 목소리가 곳곳에서 들려왔다.","庭でテニスの試合が繰り広げられ、時折興奮したり悔しがったりする声が響いた。","","",0,0,"","","","","","","","","",""},
{210762056,1008,"哼，不过如此……你们还差得远呢。","훗... 다, 다들 별거 아니네요?!","まだまだだね！（ネタ：テニスの王子様）","","",0,0,"","","","","","","","","",""},
{210762057,1003,"……这是你这一个球都没赢的人该说的话么？","...... 한번도 이기지 못한 사람이 하실 말씀은 아닌 것 같습니다.","…一勝もしていないのに？","","",0,0,"","","","","","","","","",""},
{210762058,21076,"哈哈哈哈，我觉得屋大维的乐观精神很值得学习呢！","아하핫~ 옥타비아누스 님의 긍정 마인드. 배울 필요가 있어요~","フフフ、アウグストゥスさんの前向きな態度、好きですよ～。","","",0,0,"","","","","","","","","",""},
{210762059,21076,"以及，这是事先说好的，兰斯洛特和宁宁赢的金条~","자, 그럼 약속한 대로 란슬롯 님과 링링 님께서 이시겼으니깐~ \r\n여기 골드바요~","これが約束の金の延べ棒です。ランスロットさん、寧々さん、どうぞ受け取ってください！","","",0,0,"","","","","","","","","",""},
{210762060,1008,"呜呜呜——！！！！","흑... 흑! 후아아앙!","うううぅあーー！！","","",0,0,"","","","","","","","","",""},
{210762061,1008,"为什么，为什么啊！明明我也很努力玩了呀，肯定是因为主人大人太废材拖累了我呜呜呜——","나, 나도 열심히 했는데...! 흑흑!\r\n성주님께서 테니스를 이렇게 못 치실 줄이야?! 흐아앙...!","なんで、なんでですか！私だって一生懸命頑張ったのにぃ！ご主人様があまりにも役立たずで、足を引っ張られたせいです！うぅぅぅ——","","",321076231,321076232,"你在说什么？","뭐라고...?","なんだって？","","","明明你这个蠢货拖累了我！","아니, 말은 똑바로 하자고!!!","足を引っ張られたのはこっちだよ！","",""},
{210762062,1008,"（小声）主人大人发球都能发到界外的说……","(중얼 중얼...) 자꾸 서브 넣을 때 선 밖으로 보내시고...","（ささやき声で）ご主人様のサーブは全部アウトだったじゃないですか…","","",0,0,"","","","","","","","","",""},
{210762063,1008,"没，没什么！呜呜，谁让我是女仆呢，好处主人拿，坏事自己背。","아아...! 제, 제가 말실수를 했습니다! \r\n자, 잘한 건 성주님 탓! 못한 건 하녀인 제 탓입니다!","い、いえ！うぅ、メイドとして、文句などありませんよ！","","",0,0,"","","","","","","","","",""},
{210762064,1005,"不过布伦希尔德小姐真厉害呢，一个人面对我们双打都赢多输少，而且力气好大，好几次我都以为网球拍要被击飞了。","그나저나 브륀힐드 님 대단하시네요. 정말 겨우 겨우 이겼어요.\r\n힘도 대단하셔서 라켓을 몇 번이고 날리실 뻔 하셨어요.","というより、ダブルスでも一人で勝ってしまうブリュンヒルドさん本当に上手ですね。力が強いです！テニスラケットが飛ばされるかと思いましたよ。","","",0,0,"","","","","","","","","",""},
{210762065,21076,"嘿嘿，没有力气可没法一个人到处游历哦~","우후훗~ 힘이 없으면 여자 혼자 어떻게 여행을 다니나요~","えっへへ。力がないと、一人旅のは難しいですからね！","","",0,0,"","","","","","","","","",""},
{210762066,21076,"今天我玩得很开心呢，真希望这样的时间能慢一点。","오늘 정말 즐거웠어요. 오늘처럼만... 시간이 천천히 흘러갔으면 좋겠네요.","今日はとても楽しかったです！時間の流れがもっと遅くなればいいのに。","","",0,0,"","","","","","","","","",""},
{210762067,21076,"说起来，你们明天就要走了么？","그나저나... 내일 돌아가신다구요?","そういえば、明日帰ってしまうんですか？","","",0,0,"","","","","","","","","",""},
{210762068,21076,"这样啊……真羡慕你们呢，开玩笑的~","음, 그렇군요... 부럽네요. 아하핫...! 노, 농담입니다.","そうですか…うらやましいなぁ。あ、というのは冗談です！","","",0,0,"","","","","","","","","",""},
{210762069,0,"布伦希尔德虽然在微笑，眼眸中却透露着一丝疲惫。","브륀힐드는 미소를 지었지만 눈에는 피곤한 기색이 가득했다.","ブリュンヒルドは微笑んでいるが、その目には少し疲れがにじんでいる。","","",0,0,"","","","","","","","","",""},
{210763001,0,"某个夜黑风高的晚上，度假村外的树林。","어둠이 내린 어느날 밤. 별장촌 외곽의 숲 속.","ある黒い夜、リゾートの外の森で。","","",0,0,"","","","","","","","","",""},
{210763002,1008,"咕咕，咕咕咕~","구구, 구구구~","ボソボソ、ボソボソ…","","",0,0,"","","","","","","","","",""},
{210763003,1003,"天王盖地虎下一句是什么。","일, 이, 삼... 사...","いち、に、さん、し…","","",0,0,"","","","","","","","","",""},
{210763004,1008,"萝莉一米五。","엇?! 란슬롯... 성주?!?!","ランスロット、寧々さん、城主様…あれ？","","",0,0,"","","","","","","","","",""},
{210763005,0,"锵——！（宝剑出鞘的声音）","챙! (칼이 뽑히는 소리)","シュッ！（抜剣の音…）","","",0,0,"","","","","","","","","",""},
{210763006,1008,"停停停，停！把那吓人的东西收起来!","잠, 잠깐만요! 저예요! 옥타비아누스!","ままま待って！私ですよ！アウグストゥスです！","","",0,0,"","","","","","","","","",""},
{210763007,1008,"真是的，我不就开个玩笑么，居然一声不吭就拔剑……你这没有情调的女人！","그, 그냥 장난친 건데...! 갑자기 칼을 겨누시면 어떻게 해요! 정말이지...!","まったく！冗談なのに何も言わず剣を抜くなんて！薄情な女です！","","",0,0,"","","","","","","","","",""},
{210763008,1003,"哼，整天没个正形。My lord等你半天了，过去吧。","후, 이런 장난은 사절입니다! \r\nMy lord께서 한참 기다리고 계십니다. 어서 가시죠!","ふっ、自分で約束した暗号を忘れないでくださいよ。マイロードはずっと待っていたんですよ、急いで。","","",0,0,"","","","","","","","","",""},
{210763009,0,"兰斯洛特在前面带路，屋大维提这个大袋子跟着，没走几步两人就见到了火堆旁的{PlayerName}和宁宁。","란슬롯이 앞장 서 길을 안내했고 옥타비아누스는 큰 자루를 들고 뒤를 따라갔다.  얼마 가지 않아 모닥불 옆에 앉아있는 {PlayerName}님과 링링이 보였다.","ランスロットが先導し、アウグストゥスは大きな袋を持ってそれに続いた。少し歩くと、焚き火のそばにいる{PlayerName}と寧々を見つけた。","","",0,0,"","","","","","","","","",""},
{210763010,1008,"主人大人，你最忠诚可靠的女仆回来了~","주인님~ \r\n가장 충성스럽고 믿음직스러운 하녀 옥타비아누스가 왔답니다~","ご主人様、頼りになれるメイドが戻ってきましたよ～","","",321076311,321076312,"可不可靠不知道，忠不忠诚嘛……","충성... 스럽다라... 음.","頼りになるかな…","","","怎么这么晚？","왜 이렇게 늦었어?","どうしてこんなに遅かったんだ？","",""},
{210763011,1008,"主人你那是什么眼神……你不会怀疑人家叛变了吧？我可没有中途想开溜哦！","윽... 성주님, 그 눈빛은 뭔가요...?\r\n서, 설마 제가 도망친 거라고 생각하신 건 아니시죠?!","な、なんですかその目つき！まさか私が裏切ったと疑ってるんですか？途中で逃げ出す気なんて全然ありませんよ？","","",0,0,"","","","","","","","","",""},
{210763012,1008,"我可是保质保量完成了主人大人交代的任务呢！","저는 성주님께서 말씀하신 임무를 완벽하게 수행하고 왔다구요!","ご指示通り、きちんと任務を遂行したんですから！","","",0,0,"","","","","","","","","",""},
{210763013,1008,"喏，人就在这个袋子里了！","여기, 여기에 있어요!","ほら、この袋に！","","",0,0,"","","","","","","","","",""},
{210763014,2090,"这，这是那里？！各，各位好汉饶命啊！老头子我上有，哦，我老娘去年刚走……我小孙子才十来岁，不能没有爷爷啊！","여, 여기가 어딥니까?! 사, 살려주십쇼! 늙은이를 어디에 쓰시려고...! \r\n할비없이 손자 녀석을 자라게 할 수는 없습니다...!","こ、ここは！どうかお許しを！せめて命だけは！孫から祖父を奪わないでくだされ！","","",0,0,"","","","","","","","","",""},
{210763015,2090,"你们要钱是么，我有钱，有很多钱!只求绕老头子我一命呀！","도, 돈이 필요하시다면 다, 다 드리겠습니다! \r\n제발 목숨만 살려주십쇼...!","お金！お金は全て出しますから、許してください！","","",0,0,"","","","","","","","","",""},
{210763016,1003,"……咳，我去旁边看会儿月亮，什么都不知道。","크흠... 저는 아, 아무 것도 못 본 겁니다.","コホン…こんな行為は騎士のすべきことではありません。少し失礼します。","","",0,0,"","","","","","","","","",""},
{210763017,1005,"老爷子，我家大人让你睁开眼睛说话。","촌장님, 눈 뜨셔도 되세요~","村長さん、城主様からお話があります。","","",0,0,"","","","","","","","","",""},
{210763018,2090,"呜呜，道上的规矩我懂！看了你们的样子我就得死，你们不是要钱么，我给你们就是了！","... 흑... 제, 제가 눈을 뜨면 죽일 거지 않습니까?! \r\n돈이 필요하다면 드리겠습니다!","ごめんなさい！ごめんなさぃい！何でもしますから！","","",0,0,"","","","","","","","","",""},
{210763019,1005,"大人，你看这？","성주님, 어떻게 할까요?","城主様、どうしましょう…","","",0,0,"","","","","","","","","",""},
{210763020,1005,"唔，哦……咳咳，我家大人说了，你再不睁开眼睛，我，他立马一刀捅死你！","아... 네. 크흠...!\r\n성주님께서 눈을 뜨지 않으신다면 바로 죽이신다고...!","コホン…ちゃんと話し合ってくれないと、本当に殺されるかもしれませんよ？","","",0,0,"","","","","","","","","",""},
{210763021,2090,"唔咦——！！！？？","으... 으아아아아?!?!?!","ううえええー？？！","","",0,0,"","","","","","","","","",""},
{210763022,2090,"欸，诶诶？？你，你们不是……啊，我知道了！你们果然也是在打仙女大人的主意！","...? 자네들...?! \r\n... 자네들도 설마 정령님을 노리고 있는 겐가?!","待ってくれ、そうか！わかったぞ！やっぱりあなたたちも精霊様のことで何か企んでおるんじゃな！","","",0,0,"","","","","","","","","",""},
{210763023,1005,"“也”？","... 자네들도...?","も？","","",0,0,"","","","","","","","","",""},
{210763024,2090,"唔！","윽...!","うぅ！","","",0,0,"","","","","","","","","",""},
{210763025,1008,"捂嘴也是没用的哦，我们刚才都听到了呢~","모른 척 하지 마세요. 아까 다 들었거든요~","全部聞こえましたよ、企んでいるのはあなたたちでしょう？","","",0,0,"","","","","","","","","",""},
{210763026,2090,"我，我什么都不知道！","나, 나는 아무것도 모를세!","わ、わしは何もしらん！","","",0,0,"","","","","","","","","",""},
{210763027,1008,"我劝你还是从实招来比较好哦，若是人送外号【午夜屠夫】的我家主人生气了……哼哼！","흠, 아직 정신을 못 차리셨나보네요.\r\n성주님 별명이... 「새벽의 살인자」로 불린다는 걸 말이죠. 흐음~","正直に言った方がいいですよ？うちのご主人様、「闇の殺し屋」って呼ばれてるんですから…ふふっ！","","",0,0,"","","","","","","","","",""},
{210763028,1008,"看见这火堆没有？看见这铁锅没有？还有这把见血封喉的宝剑，嘿嘿——","여기 모닥불과 솥 보이시죠? 우후훗~","見てください、この焚き火、この鍋、この宝剣…","","",0,0,"","","","","","","","","",""},
{210763029,2090,"咕噜——！我，我。","꿀꺽——! 자, 자네들...!","ぐぅう！わ…わしは…","","",0,0,"","","","","","","","","",""},
{210763030,0,"瘫坐在地上的老村长看着怪笑的{PlayerName}和屋大维，以及一旁低着头肩膀抽搐的宁宁，终于还是败给了求生欲。","바닥에 주저 앉아버린 촌장은 소름끼치게 웃고 있는 {PlayerName} 님과 옥타비아누스 그리고 고개를 숙이고 어깨를 들썩거리고 있는 링링을 보며 소름이 끼쳤다.","地面に座り込んでいる村長は、妙な笑みを浮かべる{PlayerName}とアウグストゥス、そして隣で下を向いて震えている寧々を見て、ついに観念した。","","",0,0,"","","","","","","","","",""},
{210763031,2090,"我，我说——","마, 말하지...","じ…実は…","","",0,0,"","","","","","","","","",""},
{210763032,2090,"一切，还要从四十年前说起，那是个美好而浪漫的时代，我十八岁，她也十八岁——","이 이야기는 40년 전으로 거슬러 올라가야해... \r\n누구에게도 아름다웠던 열 여덟... 청춘의 시절.","四十年前、あれはいい時代じゃった。あの時…","","",0,0,"","","","","","","","","",""},
{210763033,1008,"你怎么不从单细胞生物开始讲起呢？！说重点！","... 엄마 뱃속에 있었던 일부터 말씀하시죠?!\r\n저희가 듣고 싶은 건 그게 아니예요!","四十年前ですって？！いいから、肝心なところから話しなさい！","","",0,0,"","","","","","","","","",""},
{210763034,2090,"是，是！","... 윽! 아, 알았네!","は、はい！","","",0,0,"","","","","","","","","",""},
{210763035,2090,"半个月前的一天，我那原本去山上砍柴的孙子突然拿回来金银斧头的事，想必各位已经知道了。","나무를 하러 갔던 손자가 금도끼와 은도끼를 가지고 돌아온 이야기는 들어서 다 알고 있겠지...","半月前、芝刈りに行くはずだった孫が、突然金と銀の斧を持ち帰った話…。これはみなさん既にご存じとは思いますが…。","","",0,0,"","","","","","","","","",""},
{210763036,2090,"那时我脑子里就冒出个念头，想要凭借“湖中仙女”的噱头，让这个在我手里没落的度假村再次辉煌！","그리고 그때 내 머릿속에 번뜩이는 아이디어가 생각났지. \r\n「호수의 정령」이라는 관광 상품을 만들어 마을을 일으키고자 했어...!","その時、頭にひらめきが浮かんだのですじゃ。「湖の精霊」の触れ込みで、このリゾートを再び輝かせたい、と！","","",0,0,"","","","","","","","","",""},
{210763037,2090,"于是我带着几个村民将仙女大，呃，布伦希尔德小姐邀请到了我们村子。","그리고 그렇게 브륀힐드 님을 마을로 초대했지.","そこでわしは村の人間と一緒に精霊を…いや、ブリュンヒルドさんを村に招待することにしました。","","",0,0,"","","","","","","","","",""},
{210763038,1005,"几天前在村口那人说的“湖中仙女的馈赠”又是怎么回事？","마을 입구에 붙어 있던 정령의 선물은 뭔가요?","この間聞いた、精霊の贈り物の話はどういうことだったんですか？","","",0,0,"","","","","","","","","",""},
{210763039,2090,"我对布伦希尔德小姐说了度假村的困境后，祈求她帮助我们，扮演湖中仙女。","브륀힐드 님에게 별장촌의 어려운 상황을 말씀드리고 정령 역할을 부탁드렸어.","ブリュンヒルドさんにこのリゾートの苦境を話し、彼女に湖の精霊役を演じてもらうことをお願いしたのです。","","",0,0,"","","","","","","","","",""},
{210763040,2090,"而所谓“湖中仙女的馈赠”，其实就是类似抽奖的东西，让被吸引来的游客购物消费，","정령의 선물은... 사실 추첨 같은 거야.\r\n이곳 마을에 온 관광객들이 돈을 쓰게 만들려고...","精霊の贈り物は、実際にはガチャのようなもので…。魅力を感じて訪れた観光客に買い物を勧めて、消費を促進するのです。","","",0,0,"","","","","","","","","",""},
{210763041,2090,"再用赚来的一部分钱购买高价值的奢侈品，随后挑选游客中的幸运儿交换对方手里的垃圾，","그리고 그 돈의 일부를 보물로 구입한 뒤, 정말 정령이 선물을 준 것처럼 한 명에게 주는 거야...","その利益の一部を使って高価な贅沢品を購入し、その後、何人か幸運な人を選んで持ち物と交換してあげます。","","",0,0,"","","","","","","","","",""},
{210763042,2090,"这样一来中奖的人就会成为我们的免费广告，而那些没中的人，也只会以为是自己还不够心诚……","당첨된 사람은 정령이 정말로 있다고 생각하고, \r\n그게 아닌 사람들은 아직 진실된 마음이 부족하다고 생각하게 되는 거지...","すると選ばれた人は無料の広告塔となって、選ばれなかった人は自分の誠意がまだ足りなかったと考えるでしょう…","","",0,0,"","","","","","","","","",""},
{210763043,1008,"呜哇，好狡猾的作法！","와... 정말 사기꾼!!!","うわ！ずるい！","","",0,0,"","","","","","","","","",""},
{210763044,1005,"你们做的事，布伦希尔德小姐知道么？","브륀힐드 님께서는 이 일에 대해 알고 계시나요?","ブリュンヒルドさんはこのことを知っているんですか？","","",0,0,"","","","","","","","","",""},
{210763045,2090,"呃，那当然是不知道的……我只告诉她，让她扮演湖中仙女吸引游客。",".... 다, 당연히 모르시지. 그냥 정령의 모습을 관광객들에게 보여주자는 것만 아시고 있어.","その、精霊を演じてお客様を誘致してほしいとは伝えましたが…。","","",0,0,"","","","","","","","","",""},
{210763046,1008,"人渣！骗子！老不羞！","... 으으... 이 사, 사기꾼! 손자에게 부끄럽지도 않으세요?!?!","嘘つき！最低！","","",0,0,"","","","","","","","","",""},
{210763047,1005,"就是！为什么就不能好好做生意呢？","정말이지...! 정정당당한 방법으로 돈을 버셔야죠!","では、普通に商売したらいいじゃないですか！","","",0,0,"","","","","","","","","",""},
{210763048,2090,"好好做生意？我也想啊！","흠... 정정당당... 하, 우리도 그러고 싶다네!","普通の商売？できるものならしておるさ…","","",0,0,"","","","","","","","","",""},
{210763049,2090,"四十多年前，这座度假村还是远近闻名的度假胜地，靠着优美的风景赚得盆满钵满！","우리도 40년 전에는 아주 유명한 휴양지였어. 돈도 많이 벌었고!","四十年前、ここは僻地ながらも有名な観光地で、美しい景色で盛り上がっておった。","","",0,0,"","","","","","","","","",""},
{210763050,2090,"然而钱来得太快太容易，村子里的人就慢慢变了。变得不再愿意勤勤恳恳工作，只想躺着就能数钱。","하지만 돈을 너무 쉽게 버니 사람들이 점점 변해갔지... \r\n열심히 일하지 않고 다들 쉽게 돈을 벌려고만 했어.","じゃが、お金があまりにも簡単に入ってくると、村人はもう働くことが嫌になり、ただ横になってお金を手に入れたいと思うようになってしまった。","","",0,0,"","","","","","","","","",""},
{210763051,2090,"后来其他旅游景点相继被开发出来，还推出各式各样的服务，很快就抢走了度假村的客人。","점점 다른 관광지들이 나타나면서... 변하지 않는 이곳에 점점 사람들의 발길이 끊겼지...","その後、他の観光地が次々と開発され、さまざまなサービスが提供されるようになった。すぐにお客様が流れていってしまったよ。","","",0,0,"","","","","","","","","",""},
{210763052,2090,"但当时的我们并没有在意，因为我们已经赚够了几辈子的钱。","사실 그때 나도 별로 신경 쓰지 않았어... \r\n이미 몇 대에 걸쳐 쓸 만큼의 돈을 벌었으니.","当時、わしらはそれに気にもとめなかった。なぜなら、すでに何代にもわたって十分なお金を稼いでおったからのう…。","","",0,0,"","","","","","","","","",""},
{210763053,2090,"我们越来越不把钱当钱，天天到各个地方去奢侈消费，还学人家投资理财。","그러다보니 매일 사치하고 막무가내로 투자와 재테크를 하기 시작했어.","しかし、金を金として扱わなくなり、毎日あちこちで贅沢品を買っていたせで、稼いた金はすぐに尽きてしまったのじゃ。","","",0,0,"","","","","","","","","",""},
{210763054,2090,"我们这的人几辈子都是农民，哪会什么投资？结果被人坑了，投入的钱血本无归。","하지만 이 촌구석에 한 평생 있던 사람이 뭘 알겠나? 결국...\r\n사기를 당해 전재산을 잃었지.","ここの人々は何代もの間ずっと農業しかやってきておらん。お金の扱いがわかっていなかったのじゃ。","","",0,0,"","","","","","","","","",""},
{210763055,2090,"于是我们又过上了平凡的生活……","그렇게 다시 평범한 일상으로 돌아오게 된 거야...","そして、再び平凡な生活を送ることになったというわけじゃ…。","","",0,0,"","","","","","","","","",""},
{210763056,1008,"哼，那不是你们活该么！","결국 스스로가 자초한 일이네요!","ふん、自業自得じゃないですか！","","",0,0,"","","","","","","","","",""},
{210763057,1005,"既然你们这里以前辉煌过，重头再来不就好了么？","그렇게 유명한 곳이었다면... 다시 시작하면 되죠!","一度は栄えたのですから、一からやり直したらいいじゃないですか。","","",0,0,"","","","","","","","","",""},
{210763058,2090,"说来容易，做起来难啊。如今各个度假景点一个比一个卷，我们这本来就没什么特别的优势。","후, 말이 쉽지. 요즘 관광지 경쟁이 얼마나 치열한지 아나?\r\n우리 별장촌은 뭐 딱히 특별한 것도 없고...","そんなに簡単ではない…今や休日の観光スポットはよりどりみどり、村には特別な優位性がないのじゃ。","","",0,0,"","","","","","","","","",""},
{210763059,2090,"再加上村里的人早就被养废了，抱着那点仅剩的财产过活，根本不愿意再努力创业。","마을 사람들은 남은 재산으로 살려고만 하지 그 누구도 열심히 일하려고 하지 않아.","加えて、村の人々はもう、努力して事業を立ち上げるような気力もない。","","",0,0,"","","","","","","","","",""},
{210763060,2090,"其实当初想要博取布伦希尔德小姐的同情，说村子里的人如何如何穷困的时候，布伦希尔德小姐曾拿出了许多宝物。","처음에 브륀힐드 님에게 말씀드렸을 때, 사실 많은 도움을 주셨어...","実は、最初に同情を得ようと思って、村の人々がどれほど貧困に苦しんでいるかを話したとき、彼女はたくさんの宝物を取り出してくれたのじゃ。","","",0,0,"","","","","","","","","",""},
